"Date","Price","Open","High","Low","Vol.","Change %"
"01/25/2024","163.000","163.500","163.500","162.650","","0.15%"
"01/24/2024","162.750","163.000","163.500","162.150","","0.15%"
"01/23/2024","162.500","162.500","163.000","161.750","","0.31%"
"01/22/2024","162.000","162.000","162.500","161.400","","0.31%"
"01/19/2024","161.500","161.750","162.000","161.300","","0.16%"
"01/18/2024","161.250","161.000","161.750","160.500","","0.47%"
"01/17/2024","160.500","160.000","161.500","160.000","","0.50%"
"01/16/2024","159.700","159.500","160.750","159.500","","0.13%"
"01/15/2024","159.500","159.500","160.250","157.350","","0.31%"
"01/12/2024","159.000","159.500","159.750","158.750","","0.32%"
"01/11/2024","158.500","158.900","159.500","158.250","","0.51%"
"01/10/2024","157.700","158.000","159.000","158.000","","-0.03%"
"01/09/2024","157.750","157.800","158.500","157.500","","0.16%"
"01/08/2024","157.500","157.550","158.000","157.500","","0.32%"
"01/05/2024","157.000","157.500","157.850","156.950","","0.00%"
"01/04/2024","157.000","157.350","157.700","156.850","","0.32%"
"01/03/2024","156.500","157.000","157.600","156.600","","-0.32%"
"01/02/2024","157.000","157.000","157.500","156.450","","-0.28%"
"01/01/2024","157.440","157.297","157.530","157.297","","0.60%"
